instance_id,compact,dp_flow,arc_flow,set_cover,set_partition
sage_original_BPP_0288_675b54078a,0.022694,0.049963,0.007110,0.025450,0.028878
sage_original_BPP_0289_c9298b9601,0.029947,0.070273,0.009304,0.028138,0.045780
sage_original_BPP_0290_5edb1f6dc8,0.021188,0.034728,0.005898,0.022267,0.018821
sage_original_BPP_0291_2ca85359ae,0.026081,0.038104,0.005661,0.018730,0.019329
sage_original_BPP_0292_e79354764d,0.022330,0.041734,0.007001,0.017063,0.016708
sage_original_BPP_0293_d3a46fec85,0.025883,0.036788,0.005377,0.015666,0.017214
sage_original_BPP_0294_298be6e301,0.028105,0.034102,0.005567,0.016480,0.017287
sage_original_BPP_0295_b708163838,0.022150,0.033113,0.005445,0.018821,0.020304
sage_original_BPP_0296_cfa7ec8064,0.022567,0.035593,0.005583,0.016132,0.024106
sage_original_BPP_0297_7e79513a87,0.022195,0.043054,0.006025,0.018720,0.024104
sage_original_BPP_0298_c871a89dab,0.020717,0.033240,0.005389,0.018788,0.019140
sage_original_BPP_0299_5b8f7aecfd,0.021039,0.032921,0.005420,0.018302,0.019182
sage_original_BPP_0300_526cba3dbe,0.026101,0.040092,0.005590,0.015919,0.016940
sage_original_BPP_0301_320aadc34b,0.024603,0.038871,0.006843,0.018431,0.026714
sage_original_BPP_0302_a4c9770fa2,0.023077,0.037326,0.023712,0.020410,0.019824
sage_original_BPP_0303_d7690c15e5,0.022911,0.030504,0.005141,0.016420,0.016763
sage_original_BPP_0304_3acd2333e6,0.027260,0.043503,0.006192,0.019389,0.027163
sage_original_BPP_0305_fad37a8f75,0.021831,0.033210,0.005436,0.016681,0.017149
sage_original_BPP_0306_0ba2ec4da9,0.023529,0.034045,0.005762,0.021668,0.018303
sage_original_BPP_0307_0d3e07bdab,0.023393,0.042663,0.006029,0.019724,0.019714
sage_original_BPP_0308_0a404d5079,0.024224,0.042091,0.006798,0.018538,0.024381
sage_original_BPP_0309_7c5686ae70,0.044440,0.030361,0.005157,0.015718,0.021612
